# Function reachability — generated, do not edit by hand.
# Regenerate: scripts/generate-reachability.sh
#
# How execution enters every function in a schema built from db_schema/init/.
# entry is a comma-separated set of entry kinds. `http anon` and `service key`
# mean nothing reaches it and PostgREST publishes it anyway; `nothing` means dead.
#
# name	security	returns	grants	entry	detail
clear_orphaned_public_keys	definer	integer	service_role	service key	nothing references it
complete_ap_activity	definer	void	anon+authenticated+service_role	client	rpc in federation-backend/src/activitypub/GroupService.ts, federation-backend/src/activitypub/InboxHandler.ts
compute_supporter_tier_for_amount	invoker	uuid	anon+authenticated+service_role	client	called by recompute_supporter_tier
convert_jsonb_to_ap	invoker	text	anon+authenticated+service_role	client, trigger	rpc in src/services/federation/FederationActivityService.ts
count_pinned_messages	invoker	integer	anon+authenticated+service_role	client	rpc in src/services/MessageService.ts
create_comprehensive_timeline_entries	definer	trigger	anon+authenticated+service_role	trigger	trigger public.posts AFTER INSERT (create_comprehensive_timeline_entries_trigger)
create_default_notification_preferences	definer	void	service_role	service key	nothing references it
create_default_server_role	definer	trigger	anon+authenticated+service_role	trigger	trigger public.servers AFTER INSERT (trigger_create_default_role)
create_default_server_structure	definer	void	anon+authenticated+service_role	trigger	called by trigger_create_default_server_structure
create_federated_emoji	definer	TABLE(id uuid, created_at timestamp with time zone, name text, url text, server_id uuid, uploader uuid, domain text, scope text)	anon+authenticated+service_role	client	rpc in bot-gateway/src/api/BotRestAPI.ts
create_federated_profile	definer	uuid	anon+authenticated+service_role	client	rpc in src/services/activityPubService.ts
create_group_conversation	definer	uuid	anon+authenticated+service_role	client	rpc in src/stores/useDM.ts
create_notification_preferences	definer	trigger	anon+authenticated+service_role	trigger	trigger public.profiles AFTER INSERT (create_notification_preferences_trigger)
create_notification_structured	definer	uuid	service_role	service key	nothing references it
create_notification_with_spam_prevention	definer	uuid	service_role	service key	nothing references it
create_or_get_direct_conversation	definer	uuid	anon+authenticated+service_role	client	rpc in src/stores/useDM.ts
create_thread	definer	uuid	anon+authenticated+service_role	client	rpc in src/services/ThreadService.ts
current_user_is_member_of_server	definer	boolean	anon+authenticated+service_role	policy	policy public.user_servers SELECT on user_servers_select_co_members
delete_my_account	definer	jsonb	anon+authenticated+service_role	client	rpc in src/services/AccountDeletionService.ts
delete_push_subscription_by_endpoint	definer	void	anon+authenticated+service_role	client	rpc in federation-backend/src/services/PushNotificationService.ts
delete_server_with_cleanup	definer	void	anon+authenticated+service_role	client	rpc in src/stores/server.ts
deny_device_request	definer	boolean	anon+authenticated+service_role	client	rpc in src/services/encryption/DeviceIdentityService.ts
detect_embed_provider	invoker	text	anon+authenticated+service_role	trigger	called by fetch_link_preview
detect_message_features	invoker	jsonb	service_role	service key	nothing references it
determine_message_federation_type	invoker	text	anon+authenticated+service_role	trigger	called by handle_message_federation
disable_federation_triggers	definer	void	service_role	service key	nothing references it
enable_conversation_encryption	definer	jsonb	service_role	service key	nothing references it
enable_federation_triggers	definer	void	service_role	service key	nothing references it
end_user_session	definer	void	service_role	service key	nothing references it
enforce_channel_slowmode	definer	trigger	anon+authenticated+service_role	client, trigger	named in src/components/MessageInput.vue; trigger public.messages BEFORE INSERT (trigger_enforce_channel_slowmode)
enforce_force_sensitive	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.posts BEFORE INSERT (enforce_force_sensitive_on_posts)
enforce_message_length	invoker	trigger	anon+authenticated+service_role	client, trigger	named in src/utils/messageContentUtils.ts; trigger public.messages BEFORE INSERT/UPDATE (trg_enforce_message_length)
enforce_post_length	invoker	trigger	anon+authenticated+service_role	client, trigger	named in src/utils/messageContentUtils.ts; trigger public.posts BEFORE INSERT/UPDATE (trg_enforce_post_length)
extract_hashtags_from_content	invoker	text[]	anon+authenticated+service_role	trigger	called by process_post_hashtags
extract_message_text	invoker	text	anon+authenticated+service_role	trigger	called by handle_local_post_mention_notifications, handle_message_federation, handle_post_mention_notifications, +3
extract_url_host	invoker	text	anon+authenticated+service_role	trigger	called by detect_embed_provider, process_local_link_previews
fetch_link_preview	definer	jsonb	anon+authenticated+service_role	trigger	called by process_local_link_previews
finalize_dm_call_message	definer	void	anon+authenticated+service_role	client	rpc in src/services/DMCallSignaling.ts
generate_discord_bridge_pairing_code	invoker	text	anon+authenticated+service_role	client	called by get_or_create_discord_bridge_pairing, regenerate_discord_bridge_pairing
generate_livekit_token	definer	jsonb	service_role	service key	nothing references it
generate_unique_server_slug	invoker	text	anon+authenticated+service_role	trigger	called by assign_server_slug
get_activitypub_conversation_context	invoker	TABLE(ancestors jsonb, descendants jsonb)	anon+authenticated+service_role	client	rpc in src/services/ConversationService.ts
get_activitypub_conversation_root	invoker	TABLE(root_id uuid)	anon+authenticated+service_role	client	rpc in src/services/ConversationService.ts
get_activitypub_conversation_thread	invoker	TABLE(id uuid, content jsonb, author_id uuid, created_at timestamp with time zone, in_reply_to uuid, conversation_root_id uuid)	anon+authenticated+service_role	client	rpc in src/services/ConversationService.ts
get_admin_user_counts	definer	TABLE(user_id uuid, post_count bigint, server_count bigint)	anon+authenticated+service_role	client	rpc in src/services/AdminService.ts
get_batch_message_reactions	invoker	TABLE(message_id uuid, emoji_id uuid, emoji_name character varying, emoji_url character varying, custom_emoji_content text, reaction_count bigint, current_user_reacted boolean, users jsonb)	anon+authenticated+service_role	client	rpc in src/services/core/CoreMessageService.ts
get_batch_post_emoji_reactions	invoker	TABLE(post_id uuid, emoji_id uuid, emoji_name text, emoji_url text, custom_emoji_content text, reaction_count bigint, user_reactions jsonb, current_user_reacted boolean)	anon+authenticated+service_role	client	rpc in src/stores/postReactions.ts
get_batch_post_reactions	invoker	TABLE(post_id uuid, emoji_id uuid, emoji_name character varying, emoji_url character varying, reaction_count bigint, users jsonb)	anon+authenticated+service_role	http anon	nothing references it
get_channel_server_id	invoker	uuid	service_role	service key	nothing references it
get_conversation_context	invoker	jsonb	anon+authenticated+service_role	http anon	nothing references it
get_conversation_encryption_status	invoker	jsonb	service_role	service key	nothing references it
get_conversation_participants	invoker	TABLE(user_id uuid, role text, joined_at timestamp with time zone, is_muted boolean, last_read_at timestamp with time zone)	service_role	service key	nothing references it
get_conversation_thread	invoker	jsonb	service_role	service key	nothing references it
get_current_profile_id	definer	uuid	anon+authenticated+service_role	client, policy	policy public.ap_activities INSERT on Users can create their own activities, public.ap_activities SELECT on Users can view their own activities, public.ap_activities UPDATE on Users can update their own activities, +170
get_current_user_profile_id	definer	uuid	anon+authenticated+service_role	client	called by search_messages
get_custom_status	definer	jsonb	service_role	service key	nothing references it
get_db_connection_count	definer	integer	anon+authenticated+service_role	client	rpc in src/services/AdminService.ts
get_db_size	definer	text	anon+authenticated+service_role	client	rpc in src/services/AdminService.ts
get_default_channel	definer	uuid	anon+authenticated+service_role	client, trigger	called by ban_server_member, handle_member_join_system_message, handle_member_leave_system_message, +1
get_device_signing_key	definer	TABLE(device_signing_public_key text, revoked_at timestamp with time zone)	anon+authenticated+service_role	client	rpc in src/services/encryption/DeviceIdentityService.ts
get_emoji_metadata_bulk	invoker	TABLE(server_id uuid, last_modified timestamp with time zone, emoji_count integer)	anon+authenticated+service_role	client	rpc in src/stores/useEmojiCache.ts
get_emoji_usage_analytics	invoker	TABLE(emoji_id uuid, emoji_name text, emoji_url text, usage_count bigint, last_used timestamp with time zone)	anon+authenticated+service_role	client	rpc in src/services/emojiService.ts
get_enhanced_timeline_posts	invoker	TABLE(id text, created_at timestamp with time zone, updated_at timestamp with time zone, content jsonb, content_warning text, language text, author_id text, ap_id text, ap_type text, url text, reply_context jsonb, conversation_id text, visibility text, is_local boolean, is_federated boolean, replies_count integer, reblogs_count integer, favorites_count integer, media_attachments jsonb, metadata jsonb, is_sensitive boolean, is_deleted boolean, deleted_at timestamp with time zone, author jsonb, is_favorited boolean, is_reblogged boolean, is_bookmarked boolean, reblog jsonb, reblog_author jsonb)	anon+authenticated+service_role	client	rpc in src/services/activityPubService.ts
get_federated_instance_connection_counts	definer	TABLE(domain text, connection_count bigint)	anon+authenticated+service_role	client	rpc in src/services/AdminService.ts, src/services/TrendingService.ts
get_federated_timeline	definer	TABLE(id text, created_at timestamp with time zone, updated_at timestamp with time zone, content jsonb, content_warning text, language text, author_id text, ap_id text, ap_type text, url text, conversation_id text, visibility text, is_local boolean, is_federated boolean, replies_count integer, reblogs_count integer, favorites_count integer, media_attachments jsonb, metadata jsonb, is_sensitive boolean, author jsonb, is_favorited boolean, is_reblogged boolean, is_bookmarked boolean)	anon+authenticated+service_role	client	rpc in src/services/activityPubService.ts
get_funding_current_total	definer	numeric	anon+authenticated+service_role	client	rpc in src/services/FundingService.ts
get_home_timeline_page	invoker	jsonb	anon+authenticated+service_role	client	rpc in src/services/activityPubService.ts
get_instance_config_int	invoker	integer	anon+authenticated+service_role	client, trigger	called by enforce_message_length, enforce_post_length
get_instance_domain	definer	text	anon+authenticated+service_role	client, trigger	rpc in src/services/federation/FederationActivityService.ts
get_livekit_config	definer	jsonb	service_role	service key	nothing references it
get_message_page	invoker	jsonb	anon+authenticated+service_role	client	rpc in src/services/core/CoreMessageService.ts
get_message_reactions	invoker	TABLE(count bigint, emoji jsonb, reactions jsonb, current_user_reacted boolean, message_id_of_reactions uuid)	anon+authenticated+service_role	client	rpc in federation-backend/src/services/ServerDiscoveryService.ts, src/services/core/CoreMessageService.ts, src/stores/useDM.ts
get_most_used_emojis	invoker	TABLE(emoji_id uuid, emoji_name text, emoji_url text, server_id uuid, usage_count bigint)	anon+authenticated+service_role	client	rpc in src/services/emojiService.ts
get_my_key_pair	definer	TABLE(id uuid, user_id uuid, device_id text, identity_public_key text, identity_private_key_encrypted text, identity_signing_public_key text, identity_signing_private_key_encrypted text, key_version integer, is_active boolean, created_at timestamp with time zone, last_used_at timestamp with time zone, expires_at timestamp with time zone, metadata jsonb)	anon+authenticated+service_role	client	rpc in src/services/encryption/MegolmMessageEncryptionService.ts
get_next_folder_position	invoker	integer	service_role	service key	nothing references it
get_next_server_position	invoker	integer	service_role	service key	nothing references it
get_or_create_discord_bridge_pairing	definer	text	anon+authenticated+service_role	client	rpc in src/components/settings/DiscordBridgeSetup.vue
get_or_create_dm_conversation	definer	uuid	anon+authenticated+service_role	client	rpc in federation-backend/src/activitypub/ActivityProcessor.ts
get_or_create_federated_group_conversation	definer	uuid	anon+authenticated+service_role	client	rpc in federation-backend/src/activitypub/ActivityProcessor.ts
get_pending_reports_count	definer	integer	anon+authenticated+service_role	client	rpc in src/services/ReportService.ts
get_post_emoji_reactions	invoker	TABLE(emoji_id uuid, emoji_name text, emoji_url text, custom_emoji_content text, reaction_count bigint, user_reactions jsonb, current_user_reacted boolean)	anon+authenticated+service_role	client	rpc in src/services/core/CorePostService.ts, src/stores/postReactions.ts
get_post_with_context	invoker	jsonb	anon+authenticated+service_role	client	rpc in src/services/activityPubService.ts
get_public_federation_settings	definer	jsonb	anon+authenticated+service_role	client	rpc in src/services/federation/FederationDecisionService.ts, src/stores/useInstanceSettings.ts
get_reports_with_details	definer	TABLE(id uuid, reporter_id uuid, reported_user_id uuid, reported_message_id uuid, reported_post_id uuid, reporter_username text, reporter_display_name text, reporter_avatar_url text, reporter_domain text, reporter_is_local boolean, reported_user_username text, reported_user_display_name text, reported_user_avatar_url text, reported_user_domain text, reported_user_is_local boolean, reported_post_preview text, reported_post_ap_id text, reported_post_url text, reported_post_is_sensitive boolean, reported_post_content_warning text, reported_message_preview text, reason text, comment text, report_type text, source text, source_instance text, status text, resolution_note text, created_at timestamp with time zone)	anon+authenticated+service_role	client	rpc in src/services/ReportService.ts
get_room_epoch	definer	integer	anon+authenticated+service_role	client	rpc in src/services/encryption/RoomEpochService.ts
get_server_bans	definer	jsonb	anon+authenticated+service_role	client	rpc in src/services/ModerationService.ts
get_server_encryption_stats	definer	jsonb	anon+authenticated+service_role	client	rpc in src/components/settings/ServerEncryptionSettings.vue
get_server_member_counts	definer	TABLE(server_id uuid, member_count bigint)	anon+authenticated+service_role	client	rpc in src/components/InviteModal.vue, src/services/AdminService.ts
get_server_members_by_instance	invoker	TABLE(instance text, member_ids uuid[], member_ap_ids text[], member_count integer)	service_role	client	rpc in federation-backend/src/listeners/ChannelReactionHandler.ts, federation-backend/src/listeners/DatabaseListener.ts, federation-backend/src/listeners/ServerMembershipHandler.ts, +2
get_supporter_badge	invoker	TABLE(tier_name text, badge_icon text, badge_color text, is_active boolean)	service_role	service key	nothing references it
get_supporter_badges	invoker	TABLE(user_id uuid, tier_name text, badge_icon text, badge_color text, is_active boolean)	anon+authenticated+service_role	client	rpc in src/services/FundingService.ts
get_timeline	definer	SETOF posts	service_role	service key	nothing references it
get_trending_hashtags	invoker	TABLE(tag text, uses_count bigint, unique_users bigint, change_percent numeric, trend text)	anon+authenticated+service_role	client	rpc in src/services/TrendingService.ts
get_unclaimed_session_shares	definer	TABLE(share_id uuid, room_id text, session_id text, sender_user_id uuid, encrypted_session_key text, first_known_index integer, created_at timestamp with time zone)	anon+authenticated+service_role	client	rpc in src/services/encryption/MegolmMessageEncryptionService.ts
get_unread_announcements	definer	TABLE(id uuid, title text, content text, image_url text, icon text, is_pinned boolean, show_popup boolean, silence boolean, created_at timestamp with time zone, author_id uuid, author_username text, author_display_name text, author_avatar_url text)	anon+authenticated+service_role	client	rpc in src/services/AnnouncementService.ts
get_unread_notification_count	invoker	integer	service_role	service key	nothing references it
get_unused_prekey	definer	prekeys	service_role	service key	nothing references it
get_user_conversations	invoker	jsonb	anon+authenticated+service_role	client	rpc in src/stores/useDM.ts
get_user_cycle_donation_total	definer	numeric	service_role	client	called by recompute_supporter_tier
get_user_emoji_stats	invoker	TABLE(emoji_id uuid, emoji_name text, emoji_url text, usage_count bigint, last_used timestamp with time zone)	anon+authenticated+service_role	client	rpc in src/services/emojiService.ts
get_user_handle	invoker	text	anon+authenticated+service_role	client	rpc in src/services/activityPubService.ts
get_user_highest_role_position	definer	integer	anon+authenticated+service_role	client	called by ban_server_member, kick_server_member
get_user_notifications	invoker	TABLE(id uuid, user_id uuid, type character varying, data jsonb, is_read boolean, is_clicked boolean, created_at timestamp with time zone, updated_at timestamp with time zone, expires_at timestamp with time zone, read_at timestamp with time zone)	anon+authenticated+service_role	client	rpc in src/services/NotificationService.ts
get_user_permissions	definer	jsonb	anon+authenticated+service_role	client, policy, trigger	rpc in src/services/RoleService.ts
get_user_prekey_bundle	definer	jsonb	service_role	service key	nothing references it
get_user_push_subscriptions	definer	TABLE(subscription_id uuid, endpoint text, p256dh text, auth text, push_enabled boolean, push_offline_only boolean)	service_role	client	rpc in federation-backend/src/routes/push.ts, federation-backend/src/services/PushNotificationService.ts
get_voice_channel_participants	definer	TABLE(user_id uuid, username text, display_name text, avatar_url text, is_federated boolean, federated_domain text, joined_at timestamp with time zone, is_muted boolean, is_deafened boolean, is_video_enabled boolean, is_screen_sharing boolean)	service_role	service key	nothing references it
handle_conversation_participant_added	definer	trigger	anon+authenticated+service_role	trigger	trigger public.conversation_participants AFTER INSERT (trg_conversation_participant_added)
handle_group_participant_left	definer	trigger	anon+authenticated+service_role	trigger	trigger public.conversation_participants AFTER UPDATE (trg_group_participant_left)
handle_local_post_mention_notifications	definer	trigger	anon+authenticated+service_role	trigger	trigger public.posts AFTER INSERT (trigger_handle_local_post_mention_notifications)
handle_member_join_system_message	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_servers AFTER INSERT (trigger_member_join_system_message)
handle_member_leave_system_message	definer	trigger	anon+authenticated+service_role	trigger	trigger public.user_servers AFTER DELETE (trigger_member_leave_system_message)
handle_message_federation	definer	trigger	anon+authenticated+service_role	trigger	trigger public.messages AFTER INSERT (trg_handle_message_federation)
handle_messages_updated_at	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.messages BEFORE INSERT/UPDATE (handle_updated_at)
handle_new_dm_unread	definer	trigger	anon+authenticated+service_role	trigger	trigger public.messages AFTER INSERT (trigger_new_dm_unread)
handle_new_message_unread	definer	trigger	anon+authenticated+service_role	trigger	trigger public.messages AFTER INSERT (trigger_new_message_unread)
handle_pinned_message_delete	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.messages BEFORE UPDATE (trigger_unpin_on_delete)
handle_post_federation	definer	trigger	anon+authenticated+service_role	trigger	trigger public.posts AFTER INSERT (trigger_post_federation)
handle_post_interaction_federation	definer	trigger	anon+authenticated+service_role	trigger	trigger public.post_interactions AFTER INSERT/DELETE (trigger_post_interaction_federation)
handle_post_mention_notifications	definer	trigger	anon+authenticated+service_role	trigger	trigger public.posts AFTER INSERT (trigger_handle_post_mention_notifications)
handle_post_reply_notifications	definer	trigger	anon+authenticated+service_role	trigger	trigger public.posts AFTER INSERT (trigger_handle_post_reply_notifications)
handle_post_soft_delete	definer	trigger	anon+authenticated+service_role	trigger	trigger public.posts AFTER UPDATE (on_post_soft_delete)
handle_posts_insert_updated_at	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.posts BEFORE INSERT (handle_posts_insert_updated_at)
handle_posts_updated_at	invoker	trigger	anon+authenticated+service_role	trigger	trigger public.posts BEFORE UPDATE (handle_posts_updated_at)
handle_remote_user_suspension	definer	trigger	anon+authenticated+service_role	trigger	trigger public.profiles AFTER UPDATE (trigger_handle_remote_user_suspension)
handle_role_mention_notifications	definer	trigger	anon+authenticated+service_role	trigger	trigger public.messages AFTER INSERT (trigger_role_mention_notifications)
handle_thread_reply_notification	definer	trigger	anon+authenticated+service_role	trigger	trigger public.messages AFTER INSERT (trigger_thread_reply_notification)
handle_unified_notification_processing	definer	trigger	anon+authenticated+service_role	trigger	trigger public.follows AFTER INSERT/UPDATE (trigger_unified_notification_follows), public.post_interactions AFTER INSERT (trigger_unified_notification_interactions), public.reactions AFTER INSERT (trigger_unified_notification_reactions)
has_active_session	definer	boolean	service_role	client	rpc in federation-backend/src/services/PushNotificationService.ts
has_blocked	definer	boolean	anon+authenticated+service_role	policy	policy public.posts SELECT on posts_select_public
has_muted	definer	boolean	service_role	service key	nothing references it
